modello,RMSE_test_id,RMSE_test_ood,SS_test_id,SS_test_ood,n_finestre_test_id,n_finestre_test_ood,perdita_di_SS
Baseline persistenza,0.00522978293415013,0.007012120179291002,0.0,0.0,50.0,30.0,0.0
GRU,0.016335960051117114,0.015542930084957052,-8.757127908800914,-3.9132298917947432,50.0,30.0,-4.843898017006171
LSTM,0.029822223459835175,0.021375018043541298,-31.5171678714754,-8.292108633587388,50.0,30.0,-23.22505923788801
MLP,0.035399473156641444,0.0811439169504457,-44.816960008606316,-132.91006918725924,50.0,30.0,88.09310917865292
SimpleRNN,0.004562387218381605,0.005631069716374211,0.2389433997750544,0.35511376525177063,50.0,30.0,-0.11617036547671622
