modello_A,modello_B,RMSE_A,RMSE_B,differenza,p_value,differenza_reale
GRU,MLP,0.04811952562818172,0.10169037654157567,-0.05357085091339396,0.013671875,sì
LSTM,MLP,0.05330811428570814,0.10169037654157567,-0.04838226225586754,0.01953125,sì
MLP,SimpleRNN,0.10169037654157567,0.044216101486984814,0.057474275054590865,0.048828125,sì
GRU,LSTM,0.04811952562818172,0.05330811428570814,-0.005188588657526414,0.232421875,no
LSTM,SimpleRNN,0.05330811428570814,0.044216101486984814,0.009092012798723315,0.322265625,no
GRU,SimpleRNN,0.04811952562818172,0.044216101486984814,0.0039034241411969013,0.76953125,no
