insieme,variabile,differenza_medie_sd,rapporto_dispersioni
validation,voltage_mean_rel,0.7823885083198547,0.5735596418380737
validation,voltage_min_rel,0.7468761801719666,1.6487385034561157
validation,voltage_max_rel,-0.6527788043022156,0.6700920462608337
validation,voltage_std_rel,-1.8120980262756348,0.8333058953285217
validation,temperature_mean_rise_rel,-0.7612594366073608,0.6379570364952087
validation,temperature_max_rise_rel,-0.6185418367385864,0.6608497500419617
validation,temperature_std_rel,-0.9799099564552307,0.7282671332359314
validation,discharge_time_rel,-1.0150738489755895e-06,1.0000016689300537
validation,num_measurements_rel,-3.41965318284565e-08,1.0000004768371582
validation,soh_feature,0.5261743664741516,0.6970980167388916
test_id,voltage_mean_rel,0.5974012017250061,0.580687940120697
test_id,voltage_min_rel,-0.09226436167955399,0.8565022945404053
test_id,voltage_max_rel,-1.3097953796386719,0.37679970264434814
test_id,voltage_std_rel,0.11359427869319916,0.831146776676178
test_id,temperature_mean_rise_rel,-1.0754568576812744,0.6477100253105164
test_id,temperature_max_rise_rel,-0.8197564482688904,0.6472664475440979
test_id,temperature_std_rel,-0.6072469353675842,0.6475746631622314
test_id,discharge_time_rel,0.7935751676559448,0.8519757986068726
test_id,num_measurements_rel,-2.7959446907043457,0.3979168236255646
test_id,soh_feature,0.5197684168815613,0.6845766305923462
test_ood,voltage_mean_rel,0.9398215413093567,0.30571460723876953
test_ood,voltage_min_rel,-0.3939613997936249,0.930440366268158
test_ood,voltage_max_rel,-1.7231258153915405,1.0410517454147339
test_ood,voltage_std_rel,-0.15781225264072418,0.4758274555206299
test_ood,temperature_mean_rise_rel,-0.27896663546562195,0.3848890960216522
test_ood,temperature_max_rise_rel,-0.3390932083129883,0.5353369116783142
test_ood,temperature_std_rel,-1.0104466676712036,0.46979743242263794
test_ood,discharge_time_rel,1.5617367029190063,0.35436615347862244
test_ood,num_measurements_rel,-2.32735538482666,0.18897470831871033
test_ood,soh_feature,1.004805564880371,0.45568445324897766
