modello,RMSE_mediano_test_id,RMSE_mediano_test_ood,SS_mediano_test_id,SS_mediano_test_ood,baseline_RMSE_test_id,baseline_RMSE_test_ood,RMSE_sembra_migliore_ood,SS_davvero_migliore_ood,conclusioni_discordi
GRU,0.03314994148554775,0.03027310137231355,-8.043751850914617,-13.397420035556625,0.011025714688003063,0.008042611181735992,True,False,True
LSTM,0.04576428560667045,0.0292211417978436,-16.2808661933273,-12.245278285992928,0.011025714688003063,0.008042611181735992,True,True,False
MLP,0.10210288866322614,0.0837799898150294,-85.04494002737378,-108.31061518811211,0.011025714688003063,0.008042611181735992,True,False,True
SimpleRNN,0.0267952542207739,0.0177633666695182,-5.340353900860165,-4.4882039404749925,0.011025714688003063,0.008042611181735992,True,True,False
