insieme,n_finestre,variazione_media,variazione_sd,persistenza_RMSE,retta_RMSE,retta_SS
train,316,-0.002074044430628419,0.009672099724411964,0.009891975671052933,0.01274034603533648,-0.6588090859643747
validation,158,-0.0014726734953001142,0.006589538883417845,0.006752094253897667,0.007726343797455203,-0.30939609598875006
test_id,172,-0.002357769524678588,0.01077066920697689,0.011025714688003063,0.013235207608333363,-0.4409470850663526
test_ood,150,-0.003341383533552289,0.007315651047974825,0.008042611181735992,0.007992500635579889,0.012422380867902927
