modello_A,modello_B,RMSE_A,RMSE_B,differenza_mediana,vittorie_A,p,significativa,migliore
GRU,LSTM,0.03314994148554775,0.04576428560667045,-0.0101137257009289,8,0.232421875,False,indistinguibili
GRU,MLP,0.03314994148554775,0.10210288866322614,-0.06831353473125101,9,0.013671875,True,GRU
GRU,SimpleRNN,0.03314994148554775,0.0267952542207739,0.007694093778775802,3,0.76953125,False,indistinguibili
LSTM,MLP,0.04576428560667045,0.10210288866322614,-0.063370957855328,9,0.01953125,True,LSTM
LSTM,SimpleRNN,0.04576428560667045,0.0267952542207739,0.02029546965595655,3,0.322265625,False,indistinguibili
MLP,SimpleRNN,0.10210288866322614,0.0267952542207739,0.07677393176858795,2,0.048828125,True,SimpleRNN
