variabile,aumento_medio,aumento_sd,aumento_relativo,insieme,RMSE_base
temperature_std_rel,0.015027249604463578,0.0021199439330244264,1.255673656869923,test_id,0.011967480182647705
voltage_max_rel,0.0004964695777744055,0.00027512287640022094,0.04148488823021103,test_id,0.011967480182647705
temperature_max_rise_rel,0.0004617770668119192,0.00016960303089403722,0.038585989679053294,test_id,0.011967480182647705
voltage_min_rel,0.00032767737284302714,0.0005664771188506481,0.027380648878628955,test_id,0.011967480182647705
voltage_std_rel,0.0002913449425250292,0.000329240215801015,0.024344719028443925,test_id,0.011967480182647705
temperature_mean_rise_rel,0.0001338398549705744,0.00035520003389322694,0.011183628711133027,test_id,0.011967480182647705
soh_feature,-0.00019249878823757172,5.3548510529557516e-05,-0.016085156214980502,test_id,0.011967480182647705
voltage_mean_rel,-0.0004451239947229624,0.00022892203181527733,-0.03719446265458385,test_id,0.011967480182647705
num_measurements_rel,-0.0005036558955907822,0.0002900510243245436,-0.04208537535922224,test_id,0.011967480182647705
discharge_time_rel,-0.0006740486714988947,0.00028018026181212606,-0.05632335806799448,test_id,0.011967480182647705
temperature_std_rel,0.00018562593031674625,9.303363778500862e-05,0.024802493386062326,test_ood,0.007484164088964462
voltage_max_rel,9.956699796020985e-05,0.00016787322097800258,0.013303689867920349,test_ood,0.007484164088964462
voltage_mean_rel,7.885044906288385e-05,6.198158297909241e-05,0.010535638733409158,test_ood,0.007484164088964462
voltage_min_rel,3.43583058565855e-05,5.448234110259901e-05,0.00459080071577365,test_ood,0.007484164088964462
temperature_max_rise_rel,1.800220925360918e-05,0.00011379544024569452,0.002405373404379758,test_ood,0.007484164088964462
voltage_std_rel,1.3850885443389415e-05,2.206718016484353e-05,0.0018506923791012013,test_ood,0.007484164088964462
num_measurements_rel,7.553957402706146e-06,6.571303427988354e-06,0.0010093254654644191,test_ood,0.007484164088964462
soh_feature,-2.817041240632534e-06,3.894193216298943e-06,-0.00037640025086920707,test_ood,0.007484164088964462
discharge_time_rel,-4.442129284143448e-06,2.9242638717605904e-05,-0.0005935371313803032,test_ood,0.007484164088964462
temperature_mean_rise_rel,-2.5908066891133786e-05,6.906893759581656e-05,-0.0034617181803022873,test_ood,0.007484164088964462
