variabile,SS_M0,SS_M1,guadagno_mediano,semi_con_guadagno,n_semi,p,verdetto
voltage_max_rel,0.031284868717193604,0.04310891032218933,0.02921345829963684,5,6,0.15625,conseguenza o ridondante
temperature_max_rise_rel,0.031284868717193604,0.030576109886169434,-0.0007087588310241699,3,6,1.0,conseguenza o ridondante
voltage_mean_rel,0.031284868717193604,0.016130417585372925,-0.001983821392059326,3,6,0.84375,conseguenza o ridondante
discharge_time_rel,0.031284868717193604,0.02901175618171692,-0.0022731125354766846,3,6,0.84375,conseguenza o ridondante
temperature_std_rel,0.031284868717193604,0.01654064655303955,-0.015531927347183228,3,6,0.6875,conseguenza o ridondante
temperature_mean_rise_rel,0.031284868717193604,0.012722969055175781,-0.01961234211921692,2,6,0.5625,conseguenza o ridondante
voltage_std_rel,0.031284868717193604,0.012717455625534058,-0.0241277813911438,2,6,0.4375,conseguenza o ridondante
voltage_min_rel,0.031284868717193604,-0.00956985354423523,-0.06344142556190491,2,6,0.5625,conseguenza o ridondante
num_measurements_rel,0.031284868717193604,-0.0953492522239685,-0.1377841830253601,1,6,0.21875,conseguenza o ridondante
