configurazione,n_variabili,RMSE_mediana,RMSE_min,RMSE_max,peggioramento
senza SoH,9,0.02840736322104931,0.01358422078192234,0.030458467081189156,1.4477366429509928
senza durata,8,0.019273169338703156,0.01080540381371975,0.03542237728834152,0.6606836209700386
senza temperatura,7,0.01546164695173502,0.010703193955123425,0.023630764335393906,0.3322616220885346
senza tensione,6,0.01563146710395813,0.014520369470119476,0.02615058608353138,0.34689427229522507
tutte,10,0.011605563573539257,0.010693779215216637,0.0227067768573761,0.0
