orizzonte,modello,insieme,seme,n_finestre,RMSE,SS
1,Baseline persistenza,train,-1,316,0.009891975671052933,0.0
1,Baseline retta,train,-1,316,0.01274034603533648,-0.6588090859643747
1,Baseline persistenza,validation,-1,158,0.006752094253897667,0.0
1,Baseline retta,validation,-1,158,0.007726343797455203,-0.30939609598875006
1,Baseline persistenza,test_id,-1,172,0.011025714688003063,0.0
1,Baseline retta,test_id,-1,172,0.013235207608333363,-0.4409470850663526
1,Baseline persistenza,test_ood,-1,150,0.008042611181735992,0.0
1,Baseline retta,test_ood,-1,150,0.007992500635579889,0.012422380867902927
1,GRU,train,0,316,0.009124178439378738,0.14921170473098755
1,GRU,validation,0,158,0.012259927578270435,-2.296847105026245
1,GRU,test_id,0,172,0.02176726423203945,-2.8975725173950195
1,GRU,test_ood,0,150,0.01740521751344204,-3.6834378242492676
1,GRU,train,1,316,0.009650800377130508,0.04816722869873047
1,GRU,validation,1,158,0.011226681061089039,-1.7645580768585205
1,GRU,test_id,1,172,0.02833874709904194,-5.606140613555908
1,GRU,test_ood,1,150,0.026615945622324944,-9.951906204223633
1,GRU,train,2,316,0.009202361106872559,0.1345689296722412
1,GRU,validation,2,158,0.008973296731710434,-0.7661479711532593
1,GRU,test_id,2,172,0.01106630451977253,-0.007376313209533691
1,GRU,test_ood,2,150,0.008368903771042824,-0.08278703689575195
5,Baseline persistenza,train,-1,308,0.020110350102186203,0.0
5,Baseline retta,train,-1,308,0.02377083962105817,-0.3971716803112624
5,Baseline persistenza,validation,-1,154,0.01295427791774273,0.0
5,Baseline retta,validation,-1,154,0.01367615130140097,-0.1145545952714091
5,Baseline persistenza,test_id,-1,160,0.020718256011605263,0.0
5,Baseline retta,test_id,-1,160,0.023497899109256808,-0.28632793867874473
5,Baseline persistenza,test_ood,-1,126,0.01863165572285652,0.0
5,Baseline retta,test_ood,-1,126,0.012470079541034079,0.5520438323633654
5,GRU,train,0,308,0.011848906986415386,0.6528499126434326
5,GRU,validation,0,154,0.019045796245336533,-1.1615827083587646
5,GRU,test_id,0,160,0.06241881474852562,-8.076631546020508
5,GRU,test_ood,0,126,0.022473514080047607,-0.454919695854187
5,GRU,train,1,308,0.012951110489666462,0.5852611064910889
5,GRU,validation,1,154,0.016452832147479057,-0.6130760908126831
5,GRU,test_id,1,160,0.04653630033135414,-4.045187950134277
5,GRU,test_ood,1,126,0.0375954732298851,-3.071629047393799
5,GRU,train,2,308,0.014190996065735817,0.5020491480827332
5,GRU,validation,2,154,0.010579791851341724,0.33299702405929565
5,GRU,test_id,2,160,0.03285758197307587,-1.5151557922363281
5,GRU,test_ood,2,126,0.019416136667132378,-0.0859823226928711
10,Baseline persistenza,train,-1,298,0.02902117371559143,0.0
10,Baseline retta,train,-1,298,0.033249152849160996,-0.31259643125010594
10,Baseline persistenza,validation,-1,149,0.020263195037841797,0.0
10,Baseline retta,validation,-1,149,0.019247393380945676,0.097747703529669
10,Baseline persistenza,test_id,-1,145,0.031140225008130074,0.0
10,Baseline retta,test_id,-1,145,0.03670500796599497,-0.3893355658001998
10,Baseline persistenza,test_ood,-1,96,0.03423384204506874,0.0
10,Baseline retta,test_ood,-1,96,0.01781063974704958,0.7293252205440319
10,GRU,train,0,298,0.011721684597432613,0.8368638753890991
10,GRU,validation,0,149,0.013495709747076035,0.5564162731170654
10,GRU,test_id,0,145,0.02665933407843113,0.2670825123786926
10,GRU,test_ood,0,96,0.05343665927648544,-1.4365053176879883
10,GRU,train,1,298,0.011424814350903034,0.8450226187705994
10,GRU,validation,1,149,0.01455654576420784,0.4839392900466919
10,GRU,test_id,1,145,0.03871556371450424,-0.5457087755203247
10,GRU,test_ood,1,96,0.061004653573036194,-2.17551851272583
10,GRU,train,2,298,0.020785167813301086,0.48704755306243896
10,GRU,validation,2,149,0.034914687275886536,-1.968933343887329
10,GRU,test_id,2,145,0.028583625331521034,0.1574588418006897
10,GRU,test_ood,2,96,0.024009475484490395,0.5081257820129395
20,Baseline persistenza,train,-1,278,0.05129370093345642,0.0
20,Baseline retta,train,-1,278,0.05777787749039061,-0.26880561606475073
20,Baseline persistenza,validation,-1,139,0.03712392598390579,0.0
20,Baseline retta,validation,-1,139,0.032828823563626444,0.21800700208126944
20,Baseline persistenza,test_id,-1,115,0.05033902823925018,0.0
20,Baseline retta,test_id,-1,115,0.06327427440513324,-0.5799549688631063
20,Baseline persistenza,test_ood,-1,44,0.05642564222216606,0.0
20,Baseline retta,test_ood,-1,44,0.03504143035212849,0.61433464511457
20,GRU,train,0,278,0.014003366231918335,0.9254690408706665
20,GRU,validation,0,139,0.02861993946135044,0.405667245388031
20,GRU,test_id,0,115,0.06188875809311867,-0.5115199089050293
20,GRU,test_ood,0,44,0.04187169671058655,0.44933420419692993
20,GRU,train,1,278,0.022472837939858437,0.8080501556396484
20,GRU,validation,1,139,0.016495803371071815,0.802558183670044
20,GRU,test_id,1,115,0.03743641451001167,0.4469316005706787
20,GRU,test_ood,1,44,0.10583533346652985,-2.518101215362549
20,GRU,train,2,278,0.020548945292830467,0.8395088911056519
20,GRU,validation,2,139,0.03625096380710602,0.046476662158966064
20,GRU,test_id,2,115,0.049854107201099396,0.019173383712768555
20,GRU,test_ood,2,44,0.03446151688694954,0.6269940733909607
30,Baseline persistenza,train,-1,258,0.07450923323631287,0.0
30,Baseline retta,train,-1,258,0.07920795292689242,-0.13010140848061624
30,Baseline persistenza,validation,-1,129,0.05528856813907623,0.0
30,Baseline retta,validation,-1,129,0.045887121725587676,0.31117176690627524
30,Baseline persistenza,test_id,-1,93,0.06671518087387085,0.0
30,Baseline retta,test_id,-1,93,0.08942494865999251,-0.7966687571232403
30,GRU,train,0,258,0.014197539538145065,0.9636917114257812
30,GRU,validation,0,129,0.020984012633562088,0.855952262878418
30,GRU,test_id,0,93,0.046642471104860306,0.5112197399139404
30,GRU,train,1,258,0.018409457057714462,0.9389533400535583
30,GRU,validation,1,129,0.015649616718292236,0.9198808073997498
30,GRU,test_id,1,93,0.031239064410328865,0.7807464599609375
30,GRU,train,2,258,0.015077409334480762,0.9590519666671753
30,GRU,validation,2,129,0.024209026247262955,0.8082727193832397
30,GRU,test_id,2,93,0.036337580531835556,0.7033374905586243
50,Baseline persistenza,train,-1,218,0.12274901568889618,0.0
50,Baseline retta,train,-1,218,0.13928809570612607,-0.2876326511430578
50,Baseline persistenza,validation,-1,109,0.0927731916308403,0.0
50,Baseline retta,validation,-1,109,0.08310779679542914,0.19751200565989013
50,Baseline persistenza,test_id,-1,73,0.11298982053995132,0.0
50,Baseline retta,test_id,-1,73,0.15071490904069013,-0.7792368727787082
50,GRU,train,0,218,0.01461680419743061,0.9858202338218689
50,GRU,validation,0,109,0.042386412620544434,0.7912587523460388
50,GRU,test_id,0,73,0.04054060950875282,0.8712634444236755
50,GRU,train,1,218,0.03215368092060089,0.9313840270042419
50,GRU,validation,1,109,0.03168149292469025,0.8833818435668945
50,GRU,test_id,1,73,0.040803954005241394,0.8695855140686035
50,GRU,train,2,218,0.013920015655457973,0.9871399402618408
50,GRU,validation,2,109,0.030821077525615692,0.8896300792694092
50,GRU,test_id,2,73,0.02859257534146309,0.9359634518623352
