variabile,famiglia,copertura,correlazione_soh,z_massimo_fuori_distribuzione
cc_duration_s,"carica, assoluta",1.0674624212110624,0.8377630590046561,1.8149627414747904
cv_duration_s,"carica, assoluta",0.7043387694879243,-0.7700387874630553,4.45486474341297
cv_time_fraction,"carica, assoluta",0.7275051468716222,-0.7817819501601468,4.324266283046823
cc_time_3v8_4v1_s,"carica, assoluta",1.0087333770204154,0.8165763289137852,2.1028624927593325
charge_throughput_ah,"carica, assoluta",1.1734985122025983,0.8199705401281343,1.5704898449826
charge_cc_ah,"carica, assoluta",1.072287494117023,0.8434457950798556,1.8099667027415203
ica_peak_height,"carica, assoluta",0.358512729861881,0.26838394780192604,41.11282535316929
ica_peak_voltage,"carica, assoluta",0.7171590784097522,-0.5773680886421567,3.72806817568412
cc_duration_s_rel,"carica, riferita",1.0773840746081291,0.9011377843891575,1.792119610133199
cv_duration_s_rel,"carica, riferita",1.0981819843838672,-0.8685659492893685,3.0198264776369155
cv_time_fraction_rel,"carica, riferita",1.1072171847486885,-0.8632057155870203,3.0109140501455482
cc_time_3v8_4v1_s_rel,"carica, riferita",1.1593946882071238,0.9184265937446567,2.020318671501664
charge_throughput_ah_rel,"carica, riferita",1.0922512138522247,0.8757126392917625,1.8031511712217256
charge_cc_ah_rel,"carica, riferita",1.0937694360504964,0.9120864535975298,1.7819249363272596
ica_peak_height_rel,"carica, riferita",0.3691010155520371,0.28475642326021344,40.037511656661174
ica_peak_voltage_rel,"carica, riferita",1.2457203015850777,-0.6394699853614814,4.203926840011632
voltage_mean_rel,"scarica, riferita",1.220886750857591,0.9284684212590476,1.2599317804746393
voltage_min_rel,"scarica, riferita",0.858384373108312,-0.1749457805940036,3.6696493585483387
voltage_max_rel,"scarica, riferita",0.6275769849246798,-0.1265826069369131,18.861088323923777
voltage_std_rel,"scarica, riferita",0.9329831481336486,-0.4804760801551109,2.1218922552347106
temperature_mean_rise_rel,"scarica, riferita",1.1580169165065313,-0.5731748964963334,1.9183421468637825
temperature_max_rise_rel,"scarica, riferita",1.185315341052463,-0.6319404190489919,1.7428552680414486
temperature_std_rel,"scarica, riferita",1.1225877862647773,-0.9178361572695451,1.8358295622662388
discharge_time_rel,"scarica, riferita",0.9534744422406566,0.8746175036879003,2.343479398728567
num_measurements_rel,"scarica, riferita",0.6938890338839807,-0.36021108644851,2.6218691490395263
