variabile,rho_avanti,rho_indietro,differenza,n_blocchi,verso
voltage_mean_rel,-0.04388460551007683,0.00920136903082255,-0.01745281986956876,12,segue il degrado
voltage_min_rel,0.017323738758616643,-0.00837132493884121,-0.029959694320176256,12,segue il degrado
voltage_max_rel,-0.11673909972099118,-0.10973066479595442,0.0072182134372951595,12,precede il degrado
voltage_std_rel,0.029870690203800107,-0.021465870113336682,-0.005095998617936456,12,segue il degrado
temperature_mean_rise_rel,0.03248901328925938,-0.0856133820317031,0.001736721132927832,12,precede il degrado
temperature_max_rise_rel,0.037718634463638795,-0.048567472188797076,-0.0008578704927452163,12,segue il degrado
temperature_std_rel,0.024352296560450445,-0.040202616687737086,-0.05440988343660723,12,segue il degrado
discharge_time_rel,-0.025197434161630172,0.16840110102981642,-0.16830699781390118,12,segue il degrado
num_measurements_rel,-0.024038337452925735,0.14979249714482754,-0.17398605597767508,12,segue il degrado
