orizzonte,n_finestre,segnale,rumore,rapporto
1,172,0.002357769524678588,0.01077066920697689,0.21890650689601898
5,160,0.010955408215522766,0.017584800720214844,0.6230043768882751
10,145,0.021861733868718147,0.022176075726747513,0.9858251810073853
20,115,0.04123354330658913,0.028875816613435745,1.4279611110687256
30,93,0.05820319056510925,0.03260834515094757,1.7849169969558716
50,73,0.10830388963222504,0.03220197930932045,3.3632681369781494
