variabile,aumento_medio,aumento_sd,aumento_relativo
charge_cc_ah_rel,0.054342614859342574,0.006215703619895247,1.081008678684013
charge_throughput_ah_rel,0.014883906580507755,0.004004079996211601,0.2960776221000128
cc_duration_s_rel,0.013083882071077824,0.0026816798663986223,0.26027069375152984
cv_time_fraction_rel,0.011747825890779495,0.0019123759456496244,0.23369324012972267
cv_duration_s_rel,0.011179372109472752,0.002040695473735796,0.2223852919823271
ica_peak_height_rel,0.010836492106318475,0.002856727460847383,0.21556456279738886
cc_time_3v8_4v1_s_rel,0.001119370013475418,0.0021031733419162183,0.022267031175396888
ica_peak_voltage_rel,-0.011063038185238839,0.0026153296041600965,-0.22007112322089128
