variabile,effetto_medio,ic_basso,ic_alto,n_blocchi,blocchi_concordi,intervallo_esclude_zero
voltage_mean_rel,-0.0010462251345353245,-0.004120623201532668,0.0014319487312191286,12,7,False
voltage_min_rel,0.000984742465087178,-0.0014432916814971128,0.0034089241339485114,12,8,False
voltage_max_rel,-0.0016754420990400555,-0.0035444360477070226,0.00011231562886722451,12,9,False
voltage_std_rel,-0.001346699515346048,-0.004016490916829503,0.0012500111617230459,12,6,False
temperature_mean_rise_rel,-0.0015286636368099296,-0.003850209996539035,0.0009591121473335627,12,8,False
temperature_max_rise_rel,-0.0018618056791778062,-0.004353880470341968,0.00025047006046925003,12,6,False
temperature_std_rel,-0.0017835491816471612,-0.00394682347316872,0.0002348395219346326,12,7,False
discharge_time_rel,0.0037234099633724643,0.0016459349074544028,0.005565626076294426,12,9,True
num_measurements_rel,0.002672091552594482,0.0007519207335973451,0.004477232490038904,12,7,True
