composizione,n_blocchi,insieme,n_finestre_train,RMSE,RMSE_min,RMSE_max,SS
eterogenea,3,test_id,341,0.014931399375200272,0.014136726036667824,0.016928724944591522,-0.8339502811431885
eterogenea,3,test_ood,341,0.01882844790816307,0.014353129081428051,0.020366884768009186,-4.480686187744141
eterogenea,3,train,341,0.011323715560138226,0.011080751195549965,0.01708098314702511,0.36835986375808716
eterogenea,3,validation,341,0.011774647980928421,0.01117867324501276,0.022930778563022614,-2.0410170555114746
eterogenea,4,test_id,364,0.011718210764229298,0.011069969274103642,0.02819538488984108,-0.12955951690673828
eterogenea,4,test_ood,364,0.01354851946234703,0.008351919241249561,0.017211152240633965,-1.837850570678711
eterogenea,4,train,364,0.010906209237873554,0.009806950576603413,0.013649909757077694,0.4243389964103699
eterogenea,4,validation,364,0.009350738488137722,0.008670777082443237,0.020409688353538513,-0.9178507328033447
eterogenea,5,test_id,421,0.2475396990776062,0.012952984310686588,0.39553651213645935,-503.05303955078125
eterogenea,5,test_ood,421,0.05600453540682793,0.01517555397003889,0.059900932013988495,-47.490013122558594
eterogenea,5,train,421,0.877116858959198,0.8398875594139099,0.8886337280273438,0.2664485573768616
eterogenea,5,validation,421,0.034091439098119736,0.015789465978741646,0.056549057364463806,-24.492570877075195
eterogenea,6,test_id,439,0.19505299627780914,0.02512633055448532,0.3135968744754791,-311.96209716796875
eterogenea,6,test_ood,439,0.05684458091855049,0.011830555275082588,0.07262098044157028,-48.95558166503906
eterogenea,6,train,439,0.8589758276939392,0.09025447070598602,0.9241544604301453,0.2664005160331726
eterogenea,6,validation,439,0.03960064798593521,0.012168250977993011,0.04736601188778877,-33.397552490234375
eterogenea,7,test_id,457,0.25609397888183594,0.17482274770736694,2.04050874710083,-538.4923095703125
eterogenea,7,test_ood,457,0.04545598477125168,0.02728206478059292,0.06061439961194992,-30.94390869140625
eterogenea,7,train,457,0.8589370250701904,0.14982293546199799,1.0723727941513062,0.23639124631881714
eterogenea,7,validation,457,0.015706181526184082,0.01489645428955555,0.02440972812473774,-4.410833835601807
eterogenea,8,test_id,475,0.36913982033729553,0.262064129114151,1.8886781930923462,-1119.9036865234375
eterogenea,8,test_ood,475,0.07413424551486969,0.017553528770804405,0.0884597972035408,-83.96569061279297
eterogenea,8,train,475,0.8298200964927673,0.2387312352657318,0.8802311420440674,0.25921374559402466
eterogenea,8,validation,475,0.036937933415174484,0.011062034405767918,0.07814525067806244,-28.927345275878906
eterogenea,9,test_id,500,0.36289843916893005,0.3528837561607361,3.2899534702301025,-1082.3199462890625
eterogenea,9,test_ood,500,0.07843326032161713,0.045120008289813995,0.08783512562513351,-94.10566711425781
eterogenea,9,train,500,0.8289668560028076,0.6217228770256042,0.8302524089813232,0.22254842519760132
eterogenea,9,validation,500,0.03264607489109039,0.026898229494690895,0.05019041895866394,-22.376794815063477
eterogenea,10,test_id,518,0.34505119919776917,0.33037883043289185,0.37374386191368103,-978.3853759765625
eterogenea,10,test_ood,518,0.04850342497229576,0.02324225939810276,0.0682465061545372,-35.37062072753906
eterogenea,10,train,518,0.813361644744873,0.5687729716300964,0.8208010196685791,0.22462183237075806
eterogenea,10,validation,518,0.02818056009709835,0.016599783673882484,0.03155669569969177,-16.418960571289062
eterogenea,11,test_id,533,0.28707730770111084,0.22505532205104828,0.44019052386283875,-676.9290161132812
eterogenea,11,test_ood,533,0.054974235594272614,0.029110504314303398,0.07630275189876556,-45.72230529785156
eterogenea,11,train,533,0.7793064117431641,0.7378806471824646,0.8211107850074768,0.267581582069397
eterogenea,11,validation,533,0.038804735988378525,0.03044756129384041,0.05035795643925667,-32.02877426147461
omogenea,2,test_id,316,0.02176726423203945,0.01106630451977253,0.02833874709904194,-2.8975725173950195
omogenea,2,test_ood,316,0.01740521751344204,0.008368903771042824,0.026615945622324944,-3.6834378242492676
omogenea,2,train,316,0.009202361106872559,0.009124178439378738,0.009650800377130508,0.1345689296722412
omogenea,2,validation,316,0.011226681061089039,0.008973296731710434,0.012259927578270435,-1.7645580768585205
omogenea,3,test_id,503,0.012512871995568275,0.011121049523353577,0.05985508859157562,-0.2879544496536255
omogenea,3,test_ood,503,0.01050908025354147,0.007887277752161026,0.030835185199975967,-0.7073999643325806
omogenea,3,train,503,0.021544676274061203,0.021209778264164925,0.02755981683731079,0.4454076886177063
omogenea,3,validation,503,0.007878178730607033,0.007596446666866541,0.021643416956067085,-0.36136507987976074
omogenea,4,test_id,674,0.01937975361943245,0.014250027015805244,0.05953706428408623,-2.089462995529175
omogenea,4,test_ood,674,0.00997687503695488,0.007742309011518955,0.01182750053703785,-0.5388451814651489
omogenea,4,train,674,0.029330965131521225,0.02703065797686577,0.029746364802122116,0.46409928798675537
omogenea,4,validation,674,0.007874942384660244,0.0066051241010427475,0.010749280452728271,-0.3602468967437744
omogenea,5,test_id,860,0.015379311516880989,0.013340791687369347,0.02275642193853855,-0.9456303119659424
omogenea,5,test_ood,860,0.00851999968290329,0.008023204281926155,0.008815877139568329,-0.12223803997039795
omogenea,5,train,860,0.02977522276341915,0.02871181070804596,0.0316903181374073,0.4399898648262024
omogenea,5,validation,860,0.006922199856489897,0.00667210528627038,0.007711058482527733,-0.05102062225341797
omogenea,6,test_id,885,0.016268162056803703,0.01153598167002201,0.026279844343662262,-1.177025556564331
omogenea,6,test_ood,885,0.008087383583188057,0.008080584928393364,0.008347569033503532,-0.01116478443145752
omogenea,6,train,885,0.029108533635735512,0.028093472123146057,0.02992866560816765,0.44946783781051636
omogenea,6,validation,885,0.006964579690247774,0.006583116482943296,0.008348662406206131,-0.06392931938171387
