loss,mae,val_loss,val_mae,learning_rate,epoca,seme,modello
0.2731725871562958,0.38865557312965393,0.5485908389091492,0.6716557741165161,0.0010000000474974513,1,0,MLP
0.10328278690576553,0.24304507672786713,0.5728350877761841,0.6941000819206238,0.0010000000474974513,2,0,MLP
0.05962824076414108,0.18553078174591064,0.4437684118747711,0.6067607402801514,0.0010000000474974513,3,0,MLP
0.05630026012659073,0.179748073220253,0.3924345374107361,0.5711060762405396,0.0010000000474974513,4,0,MLP
0.044033657759428024,0.16519035398960114,0.27842044830322266,0.47037601470947266,0.0010000000474974513,5,0,MLP
0.042867597192525864,0.15775345265865326,0.27557995915412903,0.46957772970199585,0.0010000000474974513,6,0,MLP
0.029115520417690277,0.12471675872802734,0.2323300540447235,0.4232198894023895,0.0010000000474974513,7,0,MLP
0.035082995891571045,0.14149336516857147,0.2036549597978592,0.3921077251434326,0.0010000000474974513,8,0,MLP
0.023929499089717865,0.11734939366579056,0.16438119113445282,0.34813031554222107,0.0010000000474974513,9,0,MLP
0.025532487779855728,0.11746937781572342,0.1801111102104187,0.36821213364601135,0.0010000000474974513,10,0,MLP
0.019512545317411423,0.10799196362495422,0.1697821319103241,0.3570398688316345,0.0010000000474974513,11,0,MLP
0.01943877525627613,0.1034182533621788,0.15670672059059143,0.33955445885658264,0.0010000000474974513,12,0,MLP
0.019903643056750298,0.10247302055358887,0.15360784530639648,0.33472099900245667,0.0010000000474974513,13,0,MLP
0.015497669577598572,0.09822825342416763,0.1204715222120285,0.28944599628448486,0.0010000000474974513,14,0,MLP
0.018169833347201347,0.10027111321687698,0.15660454332828522,0.3362807333469391,0.0010000000474974513,15,0,MLP
0.015170685946941376,0.09314392507076263,0.11180319637060165,0.27882376313209534,0.0010000000474974513,16,0,MLP
0.012611202895641327,0.08541788160800934,0.10821973532438278,0.27386096119880676,0.0010000000474974513,17,0,MLP
0.013446741737425327,0.08486232161521912,0.12366614490747452,0.2974444627761841,0.0010000000474974513,18,0,MLP
0.010166291147470474,0.0751994177699089,0.1254221647977829,0.2990161180496216,0.0010000000474974513,19,0,MLP
0.013012618757784367,0.08068688958883286,0.12459038197994232,0.2982718050479889,0.0010000000474974513,20,0,MLP
0.010294755920767784,0.07830405235290527,0.1308826506137848,0.3073984384536743,0.0010000000474974513,21,0,MLP
0.010309007950127125,0.07329364866018295,0.11811601370573044,0.28894150257110596,0.0010000000474974513,22,0,MLP
0.00871883425861597,0.06991896778345108,0.12676595151424408,0.3008411228656769,0.0010000000474974513,23,0,MLP
0.008402657695114613,0.06875081360340118,0.10447089374065399,0.27007848024368286,0.0010000000474974513,24,0,MLP
0.009469134733080864,0.07364008575677872,0.10473545640707016,0.27012088894844055,0.0010000000474974513,25,0,MLP
0.008059786632657051,0.06860719621181488,0.10496941208839417,0.27042001485824585,0.0010000000474974513,26,0,MLP
0.0077944472432136536,0.06685441732406616,0.08709822595119476,0.24357068538665771,0.0010000000474974513,27,0,MLP
0.006789293605834246,0.06066121160984039,0.09343381226062775,0.2533825635910034,0.0010000000474974513,28,0,MLP
0.008329634554684162,0.06720834225416183,0.08929021656513214,0.2455364614725113,0.0010000000474974513,29,0,MLP
0.005310038570314646,0.05518119037151337,0.08130183070898056,0.23251791298389435,0.0010000000474974513,30,0,MLP
0.005862249527126551,0.05607261508703232,0.08213809877634048,0.23413825035095215,0.0010000000474974513,31,0,MLP
0.006295985542237759,0.05549449101090431,0.06779943406581879,0.21095217764377594,0.0010000000474974513,32,0,MLP
0.005606233142316341,0.05525629594922066,0.07557421177625656,0.22553350031375885,0.0010000000474974513,33,0,MLP
0.005620408337563276,0.057012997567653656,0.07411349564790726,0.22364942729473114,0.0010000000474974513,34,0,MLP
0.005272704642266035,0.05335259810090065,0.07207012176513672,0.22082853317260742,0.0010000000474974513,35,0,MLP
0.0048595005646348,0.05323135852813721,0.07380985468626022,0.22453030943870544,0.0010000000474974513,36,0,MLP
0.0040635340847074986,0.04967503622174263,0.08107250183820724,0.23727725446224213,0.0010000000474974513,37,0,MLP
0.00594128156080842,0.05594063922762871,0.06735168397426605,0.21266984939575195,0.0010000000474974513,38,0,MLP
0.004574155434966087,0.04855263978242874,0.07272563129663467,0.22214242815971375,0.0010000000474974513,39,0,MLP
0.0040845368057489395,0.04789010435342789,0.07031109929084778,0.21841788291931152,0.0010000000474974513,40,0,MLP
0.004345710389316082,0.04715069755911827,0.0670403242111206,0.212725430727005,0.0010000000474974513,41,0,MLP
0.0037571624852716923,0.04353485256433487,0.07303866744041443,0.22342252731323242,0.0010000000474974513,42,0,MLP
0.0041327397339046,0.045314908027648926,0.07157789170742035,0.22008943557739258,0.0010000000474974513,43,0,MLP
0.0030993674881756306,0.041502632200717926,0.061982251703739166,0.20170409977436066,0.0010000000474974513,44,0,MLP
0.003902721917256713,0.0449170246720314,0.0676802322268486,0.21293026208877563,0.0010000000474974513,45,0,MLP
0.003652984509244561,0.04408137500286102,0.05794269219040871,0.19454622268676758,0.0010000000474974513,46,0,MLP
0.003665321506559849,0.04344181716442108,0.056926093995571136,0.19192539155483246,0.0010000000474974513,47,0,MLP
0.002908721100538969,0.0395883172750473,0.05896703526377678,0.19654931128025055,0.0010000000474974513,48,0,MLP
0.003657324705272913,0.044104479253292084,0.05341797694563866,0.18505923449993134,0.0010000000474974513,49,0,MLP
0.0034013395197689533,0.042040761560201645,0.05831814557313919,0.19485615193843842,0.0010000000474974513,50,0,MLP
0.0033168578520417213,0.041824210435152054,0.06056249514222145,0.19972442090511322,0.0010000000474974513,51,0,MLP
0.0025284464936703444,0.03676441311836243,0.058987051248550415,0.19693884253501892,0.0010000000474974513,52,0,MLP
0.0026343329809606075,0.03681936115026474,0.05856449902057648,0.19634099304676056,0.0010000000474974513,53,0,MLP
0.00266466592438519,0.037036675959825516,0.06187368184328079,0.20361164212226868,0.0010000000474974513,54,0,MLP
0.002046340610831976,0.03405333682894707,0.06201797351241112,0.20408403873443604,0.0010000000474974513,55,0,MLP
0.0021335366182029247,0.03392015025019646,0.06193239986896515,0.20370744168758392,0.0010000000474974513,56,0,MLP
0.0023546037264168262,0.035760123282670975,0.06102780997753143,0.2021636664867401,0.0010000000474974513,57,0,MLP
0.0022733109071850777,0.03533951938152313,0.06048279255628586,0.2014516294002533,0.0010000000474974513,58,0,MLP
0.0026673171669244766,0.037376318126916885,0.05960235744714737,0.20052309334278107,0.0010000000474974513,59,0,MLP
0.0023973567876964808,0.03569873422384262,0.06134561821818352,0.20406119525432587,0.0005000000237487257,60,0,MLP
0.0024274641182273626,0.03414518013596535,0.06424925476312637,0.2103978395462036,0.0005000000237487257,61,0,MLP
0.0023311141412705183,0.03515587002038956,0.06186194345355034,0.20586760342121124,0.0005000000237487257,62,0,MLP
0.00216987868770957,0.03386954963207245,0.05888458341360092,0.1998959332704544,0.0005000000237487257,63,0,MLP
0.002147006569430232,0.034339677542448044,0.05712273716926575,0.19638532400131226,0.0005000000237487257,64,0,MLP
0.0019072924042120576,0.03024548850953579,0.05532412603497505,0.1929059773683548,0.0005000000237487257,65,0,MLP
0.00198741490021348,0.032539092004299164,0.05598469078540802,0.19463974237442017,0.0005000000237487257,66,0,MLP
