loss,mae,val_loss,val_mae,learning_rate,epoca,seme,modello
0.07880735397338867,0.1874171495437622,0.10885827988386154,0.2615172564983368,0.0010000000474974513,1,0,GRU
0.03470008447766304,0.1381065845489502,0.008463448844850063,0.06684045493602753,0.0010000000474974513,2,0,GRU
0.018270885571837425,0.10603250563144684,0.004916978534311056,0.05749480426311493,0.0010000000474974513,3,0,GRU
0.01214553415775299,0.08576563000679016,0.012305144220590591,0.08667528629302979,0.0010000000474974513,4,0,GRU
0.010526535101234913,0.07828166335821152,0.007026744075119495,0.06654024124145508,0.0010000000474974513,5,0,GRU
0.008786063641309738,0.06914261728525162,0.001404771232046187,0.03017153963446617,0.0010000000474974513,6,0,GRU
0.0071737635880708694,0.06285900622606277,0.0015502336900681257,0.03343723714351654,0.0010000000474974513,7,0,GRU
0.0053928629495203495,0.05556020140647888,0.0035932331811636686,0.048373088240623474,0.0010000000474974513,8,0,GRU
0.004688852000981569,0.051687709987163544,0.0026708818040788174,0.041050203144550323,0.0010000000474974513,9,0,GRU
0.004170265980064869,0.04817618802189827,0.0017702382756397128,0.03452789783477783,0.0010000000474974513,10,0,GRU
0.0038868060801178217,0.047271378338336945,0.002039644168689847,0.037658046931028366,0.0010000000474974513,11,0,GRU
0.0029248669743537903,0.04190606251358986,0.002337756799533963,0.039696939289569855,0.0010000000474974513,12,0,GRU
0.0035272391978651285,0.0448281429708004,0.0015963176265358925,0.033505987375974655,0.0010000000474974513,13,0,GRU
0.0025414603296667337,0.03864545375108719,0.0018291686428710818,0.037460584193468094,0.0010000000474974513,14,0,GRU
0.002873241202905774,0.04054088145494461,0.002033630618825555,0.040129970759153366,0.0010000000474974513,15,0,GRU
0.0025892751291394234,0.03872721269726753,0.0024402067065238953,0.04452989250421524,0.0010000000474974513,16,0,GRU
0.0028171150479465723,0.040128063410520554,0.001637748908251524,0.03557673841714859,0.0005000000237487257,17,0,GRU
0.0025257524102926254,0.03702496364712715,0.0014036125503480434,0.032691579312086105,0.0005000000237487257,18,0,GRU
0.002728938590735197,0.0392104871571064,0.001687825657427311,0.03672773763537407,0.0005000000237487257,19,0,GRU
