loss,mae,val_loss,val_mae,learning_rate,epoca,seme,modello
0.027414461597800255,0.12076900899410248,0.007960321381688118,0.06591852754354477,0.0010000000474974513,1,0,LSTM
0.012550335377454758,0.08505880832672119,0.002809222089126706,0.04231790080666542,0.0010000000474974513,2,0,LSTM
0.007124659605324268,0.0684855580329895,0.002239071764051914,0.03759247809648514,0.0010000000474974513,3,0,LSTM
0.004787726327776909,0.05238323658704758,0.0017179077258333564,0.03162750229239464,0.0010000000474974513,4,0,LSTM
0.003314889967441559,0.04423978552222252,0.0013089969288557768,0.027780242264270782,0.0010000000474974513,5,0,LSTM
0.0027571660466492176,0.03893221914768219,0.0011838480131700635,0.025984151288866997,0.0010000000474974513,6,0,LSTM
0.00214482587762177,0.036237217485904694,0.0010411026887595654,0.02391647733747959,0.0010000000474974513,7,0,LSTM
0.0016161431558430195,0.03146333992481232,0.001009188941679895,0.02375725470483303,0.0010000000474974513,8,0,LSTM
0.001635264721699059,0.03257470205426216,0.0009260252118110657,0.023182203993201256,0.0010000000474974513,9,0,LSTM
0.00147198885679245,0.029995238408446312,0.0009249760187231004,0.023552602156996727,0.0010000000474974513,10,0,LSTM
0.0012296997010707855,0.027068983763456345,0.0008383531239815056,0.02217971161007881,0.0010000000474974513,11,0,LSTM
0.0011477713705971837,0.025890812277793884,0.0007646661251783371,0.02088869735598564,0.0010000000474974513,12,0,LSTM
0.0010724138701334596,0.025379138067364693,0.0006888268399052322,0.01987268403172493,0.0010000000474974513,13,0,LSTM
0.0012377090752124786,0.026840968057513237,0.0007844410138204694,0.022274864837527275,0.0010000000474974513,14,0,LSTM
0.0010377091821283102,0.023943278938531876,0.0007930115098133683,0.022868532687425613,0.0010000000474974513,15,0,LSTM
0.000958300253842026,0.022575851529836655,0.0006382385035976768,0.019791344180703163,0.0010000000474974513,16,0,LSTM
0.0007812691037543118,0.02177499048411846,0.000733230437617749,0.02151406742632389,0.0010000000474974513,17,0,LSTM
0.0007956538465805352,0.021921943873167038,0.0007034387672320008,0.021028533577919006,0.0010000000474974513,18,0,LSTM
0.0007146396092139184,0.020085087046027184,0.000578913080971688,0.018417226150631905,0.0010000000474974513,19,0,LSTM
0.0006251904997043312,0.019395362585783005,0.0005613176035694778,0.01816064491868019,0.0010000000474974513,20,0,LSTM
0.0006027568015269935,0.019475789740681648,0.0005647600628435612,0.018922928720712662,0.0010000000474974513,21,0,LSTM
0.0005656859138980508,0.018176939338445663,0.0005442225956358016,0.018147915601730347,0.0010000000474974513,22,0,LSTM
0.0004528752469923347,0.016718795523047447,0.0005359147326089442,0.017854519188404083,0.0010000000474974513,23,0,LSTM
0.000540871056728065,0.01701553352177143,0.00045277035678736866,0.016513485461473465,0.0010000000474974513,24,0,LSTM
0.0005377939669415355,0.017570288851857185,0.00046460621524602175,0.0172167606651783,0.0010000000474974513,25,0,LSTM
0.0005066131125204265,0.01701524667441845,0.00047517710481770337,0.017772700637578964,0.0010000000474974513,26,0,LSTM
0.000496267166454345,0.016421398147940636,0.0004426858213264495,0.01718362420797348,0.0010000000474974513,27,0,LSTM
0.000395270501030609,0.014941757544875145,0.0004156634968239814,0.016584882512688637,0.0010000000474974513,28,0,LSTM
0.0004001858760602772,0.01489738468080759,0.00032927922438830137,0.014554942958056927,0.0010000000474974513,29,0,LSTM
0.0004722901794593781,0.016742395237088203,0.0003035016998182982,0.014004809781908989,0.0010000000474974513,30,0,LSTM
0.00042646954534575343,0.015054609626531601,0.0003160015039611608,0.014433636330068111,0.0010000000474974513,31,0,LSTM
0.0003479594015516341,0.013244297355413437,0.00028393272077664733,0.01364072971045971,0.0010000000474974513,32,0,LSTM
0.00034859066363424063,0.013278265483677387,0.0002134291862603277,0.011541323736310005,0.0010000000474974513,33,0,LSTM
0.0004531140439212322,0.015664923936128616,0.00015851926582399756,0.009675723500549793,0.0010000000474974513,34,0,LSTM
0.0003964662319049239,0.014426793903112411,0.00017077586380764842,0.010090726427733898,0.0010000000474974513,35,0,LSTM
